#{"t_start": 1640165250.363892, "env_id": "SwimmerEnv-v0"}
r,l,t
0.0,1,12.813149
0.0,1,24.986425
0.0,1,37.030997
0.0,1,49.450854
4.316823,1,61.574702
1.434273,1,73.956013
1.470151,1,86.072249
1.484359,1,98.20093
0.219155,1,110.289226
0.959659,1,122.499027
1.021817,1,134.573848
1.525694,1,146.787143
1.342595,1,158.86493
0.0,1,170.960306
0.0,1,183.037924
0.0,1,195.19956
2.389379,1,207.249023
0.375657,1,219.336012
0.375657,1,231.348466
0.375657,1,243.536201
3.557804,1,255.607602
1.732663,1,267.829377
1.76788,1,279.918477
2.915308,1,292.161486
2.70522,1,304.199638
2.004979,1,316.263288
1.538306,1,328.304827
1.639386,1,340.411147
3.197286,1,352.502513
0.284098,1,364.647343
1.035737,1,376.732618
1.097577,1,388.865334
2.774701,1,400.927518
1.718046,1,413.086441
2.882808,1,425.179408
3.260143,1,437.331776
0.456926,1,449.463542
0.944712,1,461.670948
0.944712,1,473.773182
0.944712,1,485.845941
4.595957,1,497.891261
1.185534,1,509.899691
2.056588,1,521.930182
1.126577,1,533.934554
0.144546,1,546.028802
1.391481,1,558.068295
1.391481,1,570.205431
1.391481,1,582.297027
0.004032,1,594.38675
0.0,1,606.564427
0.0,1,618.636376
0.0,1,630.800658
0.935805,1,642.952605
1.344795,1,655.059664
1.344795,1,667.17539
1.344795,1,679.234794
2.114866,1,691.260961
3.337484,1,703.249455
2.241891,1,715.309
0.345332,1,727.419451
0.639806,1,739.488503
0.392887,1,751.521682
0.392887,1,763.582088
0.392887,1,775.685064
2.720076,1,787.717391
0.776295,1,799.835777
0.776297,1,811.866473
0.776297,1,824.150957
0.104248,1,836.244228
0.233501,1,848.509749
0.800979,1,860.594964
3.972031,1,873.014221
1.776962,1,885.083719
1.622583,1,897.303896
2.100408,1,909.376105
2.151422,1,921.623557
5.437104,1,933.696728
0.0,1,945.978162
0.0,1,958.092945
0.0,1,970.404289
2.566571,1,982.473367
1.5495,1,994.731214
1.569163,1,1006.802835
1.569163,1,1018.988468
1.334314,1,1031.070518
0.0,1,1043.25839
0.0,1,1055.32173
0.0,1,1067.349312
0.0,1,1079.313034
0.0,1,1091.336047
0.0,1,1103.358516
0.0,1,1115.390843
2.27426,1,1127.422173
1.348474,1,1139.492408
1.736719,1,1151.593035
1.738674,1,1163.719239
1.413714,1,1175.755666
2.326965,1,1187.924381
1.37745,1,1199.995451
0.944999,1,1212.159715
1.465307,1,1224.20233
0.0,1,1236.539313
0.0,1,1248.736745
0.0,1,1261.049613
0.435072,1,1273.108633
0.627716,1,1285.312299
0.627716,1,1297.345149
0.627716,1,1309.552947
2.471167,1,1321.604181
3.614318,1,1333.683417
3.585217,1,1345.796775
2.026571,1,1357.969923
6.151525,1,1369.9998
1.24901,1,1382.098018
1.481035,1,1394.15978
1.093904,1,1406.236266
1.398254,1,1418.307392
0.0,1,1430.380566
0.0,1,1442.459326
0.0,1,1454.649821
0.0,1,1466.646306
0.0,1,1478.763702
0.0,1,1490.817219
0.0,1,1502.85385
0.0,1,1514.847474
0.0,1,1526.813497
0.0,1,1538.861278
0.0,1,1550.867839
4.105846,1,1562.893371
2.118007,1,1574.873657
1.816055,1,1586.908404
3.185779,1,1598.931735
1.32497,1,1610.990088
1.04223,1,1623.019577
1.599339,1,1635.084611
1.745025,1,1647.116111
3.591859,1,1659.166367
0.0,1,1671.22487
0.0,1,1683.319728
0.0,1,1695.356833
2.478404,1,1707.345548
